本数据策略分享会专用，由邢不行整理，微信：xbx6660
股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额,流通市值,总市值,净利润TTM,现金流TTM,净资产,总资产,总负债,净利润(当季),中户资金买入额,中户资金卖出额,大户资金买入额,大户资金卖出额,散户资金买入额,散户资金卖出额,机构资金买入额,机构资金卖出额,沪深300成分股,上证50成分股,中证500成分股,中证1000成分股,中证2000成分股,创业板指成分股,新版申万一级行业名称,新版申万二级行业名称,新版申万三级行业名称,09:35收盘价,09:45收盘价,09:55收盘价
bj836395,N朗鸿,2022-09-01,17.0,17.03,15.71,16.97,17.0,2529071.0,41723201.0,228826568.54,776886600.0,45135140.94,38724228.220000006,121831861.22000001,157969823.05,36137961.83,6887998.98,,,,,,,,,,,,,,,机械设备,专用设备,楼宇设备,,,
bj836395,朗鸿科技,2022-09-02,16.1,16.29,15.88,15.88,16.97,615557.0,9890493.0,214128810.16,726986400.0,45135140.94,38724228.220000006,121831861.22000001,157969823.05,36137961.83,6887998.98,,,,,,,,,,,,,,,机械设备,专用设备,楼宇设备,,,
bj836395,朗鸿科技,2022-09-05,15.96,16.0,15.59,15.62,15.88,308569.0,4836429.0,210622922.84,715083600.0,45135140.94,38724228.220000006,121831861.22000001,157969823.05,36137961.83,6887998.98,,,,,,,,,,,,,,,机械设备,专用设备,楼宇设备,,,
bj836395,朗鸿科技,2022-09-06,15.61,15.89,15.6,15.68,15.62,135121.0,2121366.0,211431973.76,717830399.9999999,45135140.94,38724228.220000006,121831861.22000001,157969823.05,36137961.83,6887998.98,,,,,,,,,,,,,,,机械设备,专用设备,楼宇设备,,,
bj836395,朗鸿科技,2022-09-07,15.68,16.11,15.68,15.98,15.68,305234.0,4878350.0,215477228.36,731564400.0,45135140.94,38724228.220000006,121831861.22000001,157969823.05,36137961.83,6887998.98,,,,,,,,,,,,,,,机械设备,专用设备,楼宇设备,,,
bj836395,朗鸿科技,2022-09-08,15.85,16.1,15.81,15.83,15.98,147842.0,2355246.0,213454601.06,724697400.0,45135140.94,38724228.220000006,121831861.22000001,157969823.05,36137961.83,6887998.98,,,,,,,,,,,,,,,机械设备,专用设备,楼宇设备,,,
bj836395,朗鸿科技,2022-09-09,15.83,15.97,15.78,15.87,15.83,106252.0,1680753.0,213993968.34,726528600.0,45135140.94,38724228.220000006,121831861.22000001,157969823.05,36137961.83,6887998.98,,,,,,,,,,,,,,,机械设备,专用设备,楼宇设备,,,
bj836395,朗鸿科技,2022-09-13,15.78,15.8,15.52,15.75,15.87,220658.0,3446615.0,212375866.5,721035000.0,45135140.94,38724228.220000006,121831861.22000001,157969823.05,36137961.83,6887998.98,,,,,,,,,,,,,,,机械设备,专用设备,楼宇设备,,,
bj836395,朗鸿科技,2022-09-14,15.58,15.66,15.5,15.62,15.75,144959.0,2254090.0,210622922.84,715083600.0,45135140.94,38724228.220000006,121831861.22000001,157969823.05,36137961.83,6887998.98,,,,,,,,,,,,,,,机械设备,专用设备,楼宇设备,,,
bj836395,朗鸿科技,2022-09-15,15.6,15.68,15.5,15.56,15.62,88054.0,1370026.0,209813871.92,712336799.9999999,45135140.94,38724228.220000006,121831861.22000001,157969823.05,36137961.83,6887998.98,,,,,,,,,,,,,,,机械设备,专用设备,楼宇设备,,,
bj836395,朗鸿科技,2022-09-16,15.69,17.0,15.66,16.8,15.56,1066006.0,17630309.0,226534257.6,769104000.0,45135140.94,38724228.220000006,121831861.22000001,157969823.05,36137961.83,6887998.98,,,,,,,,,,,,,,,机械设备,专用设备,楼宇设备,,,
bj836395,朗鸿科技,2022-09-19,16.92,16.94,15.0,15.11,16.8,637244.0,9881809.0,203745990.02,691735800.0,45135140.94,38724228.220000006,121831861.22000001,157969823.05,36137961.83,6887998.98,,,,,,,,,,,,,,,机械设备,专用设备,楼宇设备,,,
