±¾Êý¾Ý²ßÂÔ·ÖÏí»á×¨ÓÃ£¬ÓÉÐÏ²»ÐÐÕûÀí£¬Î¢ÐÅ£ºxbx6660
¹ÉÆ±´úÂë,¹ÉÆ±Ãû³Æ,½»Ò×ÈÕÆÚ,¿ªÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,ÊÕÅÌ¼Û,Ç°ÊÕÅÌ¼Û,³É½»Á¿,³É½»¶î,Á÷Í¨ÊÐÖµ,×ÜÊÐÖµ,¾»ÀûÈóTTM,ÏÖ½ðÁ÷TTM,¾»×Ê²ú,×Ü×Ê²ú,×Ü¸ºÕ®,¾»ÀûÈó(µ±¼¾),ÖÐ»§×Ê½ðÂòÈë¶î,ÖÐ»§×Ê½ðÂô³ö¶î,´ó»§×Ê½ðÂòÈë¶î,´ó»§×Ê½ðÂô³ö¶î,É¢»§×Ê½ðÂòÈë¶î,É¢»§×Ê½ðÂô³ö¶î,»ú¹¹×Ê½ðÂòÈë¶î,»ú¹¹×Ê½ðÂô³ö¶î,»¦Éî300³É·Ö¹É,ÉÏÖ¤50³É·Ö¹É,ÖÐÖ¤500³É·Ö¹É,ÖÐÖ¤1000³É·Ö¹É,ÖÐÖ¤2000³É·Ö¹É,´´Òµ°åÖ¸³É·Ö¹É,ÐÂ°æÉêÍòÒ»¼¶ÐÐÒµÃû³Æ,ÐÂ°æÉêÍò¶þ¼¶ÐÐÒµÃû³Æ,ÐÂ°æÉêÍòÈý¼¶ÐÐÒµÃû³Æ,09:35ÊÕÅÌ¼Û,09:45ÊÕÅÌ¼Û,09:55ÊÕÅÌ¼Û
sh600062,»ªÈóË«º×,1997-05-22,12.0,14.56,11.9,13.85,6.69,25824000.0,358696977.0,585855000.0,2035950000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sh600062,Ë«º×Ò©Òµ,1997-05-23,14.0,15.24,13.98,15.23,13.85,15761400.0,234428797.0,644229000.0,2238810000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sh600062,Ë«º×Ò©Òµ,1997-05-26,15.75,15.95,14.1,15.78,15.23,12797900.0,194619320.0,667494000.0,2319660000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sh600062,Ë«º×Ò©Òµ,1997-05-27,15.88,15.89,15.0,15.35,15.78,6333400.0,97414853.0,649305000.0,2256450000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sh600062,Ë«º×Ò©Òµ,1997-05-28,15.2,15.52,14.75,15.1,15.35,5641100.0,85021512.0,638730000.0,2219700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sh600062,Ë«º×Ò©Òµ,1997-05-29,15.09,16.0,14.85,15.2,15.1,5097900.0,79091779.0,642960000.0,2234400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sh600062,Ë«º×Ò©Òµ,1997-05-30,15.2,15.4,14.85,15.39,15.2,2840800.0,42991472.0,650997000.0,2262330000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sh600062,Ë«º×Ò©Òµ,1997-06-02,15.8,16.5,15.53,16.48,15.39,8133900.0,130882492.0,697104000.0,2422560000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sh600062,Ë«º×Ò©Òµ,1997-06-03,16.5,17.1,16.0,16.18,16.48,6748600.0,111055132.0,684414000.0,2378460000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sh600062,Ë«º×Ò©Òµ,1997-06-04,16.15,16.4,15.8,15.98,16.18,4099000.0,65633672.0,675954000.0,2349060000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sh600062,Ë«º×Ò©Òµ,1997-06-05,15.98,16.28,15.78,15.93,15.98,3247400.0,51929980.0,673839000.0,2341710000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sh600062,Ë«º×Ò©Òµ,1997-06-06,14.6,15.4,14.34,14.65,15.93,4523300.0,67210559.0,619695000.0,2153550000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sh600062,Ë«º×Ò©Òµ,1997-06-09,14.8,14.88,14.1,14.42,14.65,1336300.0,19245677.0,609966000.0,2119740000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sh600062,Ë«º×Ò©Òµ,1997-06-10,14.42,14.7,13.85,13.88,14.42,960100.0,13680865.0,587124000.0,2040360000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sh600062,Ë«º×Ò©Òµ,1997-06-11,13.88,13.98,12.95,13.86,13.88,1689100.0,22546538.0,586278000.0,2037420000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sh600062,Ë«º×Ò©Òµ,1997-06-12,13.85,13.96,13.31,13.47,13.86,1391800.0,18882410.0,569781000.0,1980090000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sh600062,Ë«º×Ò©Òµ,1997-06-13,12.8,14.1,12.72,14.02,13.47,1948800.0,26486140.0,593046000.0,2060940000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sh600062,Ë«º×Ò©Òµ,1997-06-16,14.2,14.5,14.03,14.2,14.02,1726600.0,24585713.0,600660000.0,2087400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sh600062,Ë«º×Ò©Òµ,1997-06-17,14.2,14.2,13.78,13.84,14.2,860900.0,11992656.0,585432000.0,2034480000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sh600062,Ë«º×Ò©Òµ,1997-06-18,13.9,14.0,13.6,13.78,13.84,717300.0,9891436.0,582894000.0,2025660000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sh600062,Ë«º×Ò©Òµ,1997-06-19,13.78,13.9,13.4,13.41,13.78,725400.0,9863013.0,567243000.0,1971270000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sh600062,Ë«º×Ò©Òµ,1997-06-20,13.55,14.3,13.5,14.13,13.41,1008700.0,14062819.0,597699000.0,2077110000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sh600062,Ë«º×Ò©Òµ,1997-06-23,14.3,14.58,13.7,13.88,14.13,1551900.0,21809264.0,587124000.0,2040360000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sh600062,Ë«º×Ò©Òµ,1997-06-24,13.96,14.35,13.86,14.13,13.88,960700.0,13524688.0,597699000.0,2077110000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sh600062,Ë«º×Ò©Òµ,1997-06-25,14.16,14.2,13.75,13.8,14.13,958000.0,13338362.0,583740000.0,2028600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sh600062,Ë«º×Ò©Òµ,1997-06-26,13.8,13.8,13.5,13.57,13.8,999300.0,13594983.0,574011000.0,1994790000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sh600062,Ë«º×Ò©Òµ,1997-06-27,13.51,13.69,13.0,13.05,13.57,1376600.0,18234428.0,552015000.0,1918350000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sh600062,Ë«º×Ò©Òµ,1997-07-02,13.05,13.25,11.75,12.19,13.05,951000.0,11833312.0,515637000.0,1791930000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sh600062,Ë«º×Ò©Òµ,1997-07-03,12.19,12.77,11.55,12.1,12.19,1053300.0,12814543.0,511830000.0,1778700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sh600062,Ë«º×Ò©Òµ,1997-07-04,12.0,12.6,11.91,12.3,12.1,749500.0,9239355.0,520290000.0,1808100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sh600062,Ë«º×Ò©Òµ,1997-07-07,12.32,12.4,11.42,11.44,12.3,867400.0,10311384.0,483912000.0,1681680000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sh600062,Ë«º×Ò©Òµ,1997-07-08,11.44,11.87,11.0,11.66,11.44,706400.0,8065295.0,493218000.0,1714020000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sh600062,Ë«º×Ò©Òµ,1997-07-09,11.74,11.74,11.4,11.62,11.66,517800.0,5978706.0,491526000.0,1708140000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sh600062,Ë«º×Ò©Òµ,1997-07-10,11.5,11.75,11.4,11.45,11.62,528900.0,6116035.0,484335000.0,1683150000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sh600062,Ë«º×Ò©Òµ,1997-07-11,11.3,12.19,11.2,12.19,11.45,1339100.0,15866394.0,515637000.0,1791930000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sh600062,Ë«º×Ò©Òµ,1997-07-14,12.25,12.58,12.15,12.39,12.19,1198700.0,14826233.0,524097000.0,1821330000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sh600062,Ë«º×Ò©Òµ,1997-07-15,12.43,13.0,12.35,12.72,12.39,1748800.0,22331041.0,538056000.0,1869840000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
