╠╬йЩ╬щ╡ъбт╥жоМ╩Ав╗сцё╛сипо╡╩ппуШюМё╛н╒пеё╨xbx6660
╧иф╠╢ЗбК,╧иф╠цШЁф,╫╩рвхуфз,©╙ел╪ш,вН╦ъ╪ш,вН╣м╪ш,йуел╪ш,г╟йуел╪ш,Ёи╫╩а©,Ёи╫╩╤Н,аВм╗йпж╣,вэйпж╣,╬╩юШхСTTM,ож╫ПаВTTM,╬╩вй╡З,вэвй╡З,вэ╦╨у╝,╬╩юШхС(╣╠╪╬),жп╩╖вй╫ПбРхК╤Н,жп╩╖вй╫ПбТЁЖ╤Н,╢С╩╖вй╫ПбРхК╤Н,╢С╩╖вй╫ПбТЁЖ╤Н,и╒╩╖вй╫ПбРхК╤Н,и╒╩╖вй╫ПбТЁЖ╤Н,╩З╧╧вй╫ПбРхК╤Н,╩З╧╧вй╫ПбТЁЖ╤Н,╩╕иН300Ёи╥ж╧и,иож╓50Ёи╥ж╧и,жпж╓500Ёи╥ж╧и,жпж╓1000Ёи╥ж╧и,жпж╓2000Ёи╥ж╧и,╢╢р╣╟Еж╦Ёи╥ж╧и,пб╟ФиЙмРр╩╪╤ппр╣цШЁф,пб╟ФиЙмР╤Ч╪╤ппр╣цШЁф,пб╟ФиЙмРхЩ╪╤ппр╣цШЁф,09:35йуел╪ш,09:45йуел╪ш,09:55йуел╪ш
sh600365,м╗фоля╬ф,2001-01-15,15.58,15.68,14.3,14.45,7.08,30354930.0,443112282.0,867000000.0,2023000000.0,,,109711731.63,304963383.74,195251652.11,,,,,,,,,,,,,,,,,,,,,
sh600365,м╗фоля╬ф,2001-01-16,14.3,14.45,13.83,14.13,14.45,5940672.0,83786347.0,847800000.0,1978200000.0,,,109711731.63,304963383.74,195251652.11,,,,,,,,,,,,,,,,,,,,,
sh600365,м╗фоля╬ф,2001-01-17,14.15,14.3,14.08,14.12,14.13,2036778.0,28875039.0,847200000.0,1976800000.0,,,109711731.63,304963383.74,195251652.11,,,,,,,,,,,,,,,,,,,,,
sh600365,м╗фоля╬ф,2001-01-18,14.09,14.25,14.05,14.15,14.12,1751908.0,24789151.0,849000000.0,1981000000.0,,,109711731.63,304963383.74,195251652.11,,,,,,,,,,,,,,,,,,,,,
sh600365,м╗фоля╬ф,2001-01-19,14.18,14.77,14.05,14.45,14.15,3434382.0,49916696.0,867000000.0,2023000000.0,,,109711731.63,304963383.74,195251652.11,,,,,,,,,,,,,,,,,,,,,
sh600365,м╗фоля╬ф,2001-02-05,14.45,14.48,13.71,13.77,14.45,2331679.0,32569369.0,826200000.0,1927800000.0,,,109711731.63,304963383.74,195251652.11,,,,,,,,,,,,,,,,,,,,,
sh600365,м╗фоля╬ф,2001-02-06,13.68,13.72,13.06,13.41,13.77,2506539.0,33381967.0,804600000.0,1877400000.0,,,109711731.63,304963383.74,195251652.11,,,,,,,,,,,,,,,,,,,,,
sh600365,м╗фоля╬ф,2001-02-07,13.41,13.46,13.18,13.26,13.41,710556.0,9447357.0,795600000.0,1856400000.0,,,109711731.63,304963383.74,195251652.11,,,,,,,,,,,,,,,,,,,,,
sh600365,м╗фоля╬ф,2001-02-08,13.26,13.53,13.02,13.11,13.26,1144801.0,15194096.0,786600000.0,1835400000.0,,,109711731.63,304963383.74,195251652.11,,,,,,,,,,,,,,,,,,,,,
sh600365,м╗фоля╬ф,2001-02-09,13.2,13.47,13.2,13.36,13.11,1060500.0,14158944.0,801600000.0,1870400000.0,,,109711731.63,304963383.74,195251652.11,,,,,,,,,,,,,,,,,,,,,
sh600365,м╗фоля╬ф,2001-02-12,13.42,13.48,13.12,13.34,13.36,740050.0,9804285.0,800400000.0,1867600000.0,,,109711731.63,304963383.74,195251652.11,,,,,,,,,,,,,,,,,,,,,
sh600365,м╗фоля╬ф,2001-02-13,13.36,13.44,13.25,13.31,13.34,648836.0,8657451.0,798600000.0,1863400000.0,,,109711731.63,304963383.74,195251652.11,,,,,,,,,,,,,,,,,,,,,
sh600365,м╗фоля╬ф,2001-02-14,13.3,13.4,13.2,13.31,13.31,390020.0,5189236.0,798600000.0,1863400000.0,,,109711731.63,304963383.74,195251652.11,,,,,,,,,,,,,,,,,,,,,
sh600365,м╗фоля╬ф,2001-02-15,13.31,13.45,13.16,13.17,13.31,495104.0,6573664.0,790200000.0,1843800000.0,,,109711731.63,304963383.74,195251652.11,,,,,,,,,,,,,,,,,,,,,
sh600365,м╗фоля╬ф,2001-02-16,13.05,13.13,12.8,12.99,13.17,1094943.0,14186149.0,779400000.0,1818600000.0,,,109711731.63,304963383.74,195251652.11,,,,,,,,,,,,,,,,,,,,,
sh600365,м╗фоля╬ф,2001-02-19,12.92,13.32,12.9,13.28,12.99,620381.0,8165931.0,796800000.0,1859200000.0,,,109711731.63,304963383.74,195251652.11,,,,,,,,,,,,,,,,,,,,,
sh600365,м╗фоля╬ф,2001-02-20,13.28,13.37,13.01,13.05,13.28,816705.0,10747165.0,783000000.0,1827000000.0,,,109711731.63,304963383.74,195251652.11,,,,,,,,,,,,,,,,,,,,,
sh600365,м╗фоля╬ф,2001-02-21,13.03,13.03,12.63,12.63,13.05,1075000.0,13772171.0,757800000.0,1768200000.0,,,109711731.63,304963383.74,195251652.11,,,,,,,,,,,,,,,,,,,,,
sh600365,м╗фоля╬ф,2001-02-22,12.6,12.9,12.52,12.73,12.63,556180.0,7091064.0,763800000.0,1782200000.0,,,109711731.63,304963383.74,195251652.11,,,,,,,,,,,,,,,,,,,,,
sh600365,м╗фоля╬ф,2001-02-23,12.8,13.1,12.75,13.09,12.73,549852.0,7108940.0,785400000.0,1832600000.0,,,109711731.63,304963383.74,195251652.11,,,,,,,,,,,,,,,,,,,,,
sh600365,м╗фоля╬ф,2001-02-26,13.12,13.25,13.08,13.23,13.09,693442.0,9133176.0,793800000.0,1852200000.0,,,109711731.63,304963383.74,195251652.11,,,,,,,,,,,,,,,,,,,,,
sh600365,м╗фоля╬ф,2001-02-27,13.25,13.25,13.03,13.18,13.23,602580.0,7924522.0,790800000.0,1845200000.0,,,109711731.63,304963383.74,195251652.11,,,,,,,,,,,,,,,,,,,,,
sh600365,м╗фоля╬ф,2001-02-28,13.14,13.2,13.06,13.16,13.18,366563.0,4809045.0,789600000.0,1842400000.0,,,109711731.63,304963383.74,195251652.11,,,,,,,,,,,,,,,,,,,,,
sh600365,м╗фоля╬ф,2001-03-01,13.1,13.53,13.1,13.47,13.16,1411424.0,18906196.0,808200000.0,1885800000.0,,,109711731.63,304963383.74,195251652.11,,,,,,,,,,,,,,,,,,,,,
sh600365,м╗фоля╬ф,2001-03-02,13.51,13.58,13.43,13.54,13.47,1156865.0,15632538.0,812400000.0,1895600000.0,,,109711731.63,304963383.74,195251652.11,,,,,,,,,,,,,,,,,,,,,
sh600365,м╗фоля╬ф,2001-03-05,13.55,13.59,13.4,13.46,13.54,764635.0,10313121.0,807600000.0,1884400000.0,,,109711731.63,304963383.74,195251652.11,,,,,,,,,,,,,,,,,,,,,
sh600365,м╗фоля╬ф,2001-03-06,13.46,13.55,13.32,13.55,13.46,656660.0,8819889.0,813000000.0,1897000000.0,,,109711731.63,304963383.74,195251652.11,,,,,,,,,,,,,,,,,,,,,
sh600365,м╗фоля╬ф,2001-03-07,13.56,13.67,13.45,13.62,13.55,949621.0,12890392.0,817200000.0,1906800000.0,,,109711731.63,304963383.74,195251652.11,,,,,,,,,,,,,,,,,,,,,
sh600365,м╗фоля╬ф,2001-03-08,13.6,13.67,13.55,13.55,13.62,675800.0,9180005.0,813000000.0,1897000000.0,,,109711731.63,304963383.74,195251652.11,,,,,,,,,,,,,,,,,,,,,
sh600365,м╗фоля╬ф,2001-03-09,13.56,13.56,13.35,13.48,13.55,822601.0,11052246.0,808800000.0,1887200000.0,,,109711731.63,304963383.74,195251652.11,,,,,,,,,,,,,,,,,,,,,
sh600365,м╗фоля╬ф,2001-03-12,13.42,13.48,13.28,13.38,13.48,788796.0,10526033.0,802800000.0,1873200000.0,,,109711731.63,304963383.74,195251652.11,,,,,,,,,,,,,,,,,,,,,
sh600365,м╗фоля╬ф,2001-03-13,13.4,13.85,13.4,13.69,13.38,1981773.0,27133669.0,821400000.0,1916600000.0,,,109711731.63,304963383.74,195251652.11,,,,,,,,,,,,,,,,,,,,,
sh600365,м╗фоля╬ф,2001-03-14,13.7,13.93,13.7,13.89,13.69,1939972.0,26912661.0,833400000.0,1944600000.0,,,109711731.63,304963383.74,195251652.11,,,,,,,,,,,,,,,,,,,,,
sh600365,м╗фоля╬ф,2001-03-15,13.91,13.98,13.8,13.87,13.89,1564540.0,21722814.0,832200000.0,1941800000.0,,,109711731.63,304963383.74,195251652.11,,,,,,,,,,,,,,,,,,,,,
