掛杅擂習謹煦砅頗蚳蚚ㄛ蚕俵祥俴淕燴ㄛ峚陓ㄩxbx6660
嘖き測鎢,嘖き靡備,蝠眢�梪�,羲攫歎,郔詢歎,郔腴歎,彶攫歎,ヶ彶攫歎,傖蝠講,傖蝠塗,霜籵庈硉,軞庈硉,噱瞳�蹻TM,珋踢霜TTM,噱訧莉,軞訧莉,軞蛹晢,噱瞳��(絞撫),笢誧訧踢鎗�賱�,笢誧訧踢闖堤塗,湮誧訧踢鎗�賱�,湮誧訧踢闖堤塗,汃誧訧踢鎗�賱�,汃誧訧踢闖堤塗,儂凳訧踢鎗�賱�,儂凳訧踢闖堤塗,誚旮300傖煦嘖,奻痐50傖煦嘖,笢痐500傖煦嘖,笢痐1000傖煦嘖,笢痐2000傖煦嘖,斐珛啣硌傖煦嘖,陔唳扠勀珨撰俴珛靡備,陔唳扠勀媼撰俴珛靡備,陔唳扠勀��撰俴珛靡備,09:35彶攫歎,09:45彶攫歎,09:55彶攫歎
sh600876,醫栠產薛,1995-10-31,16.78,16.88,15.0,15.02,5.03,25375100.0,394819000.0,600800000.0,6759000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sh600876,醫栠產薛,1995-11-01,14.57,14.6,13.02,13.1,15.02,9017000.0,123750392.0,524000000.0,5895000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sh600876,醫栠產薛,1995-11-02,13.02,13.78,13.0,13.39,13.1,3714600.0,49585353.0,535600000.0,6025500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sh600876,醫栠產薛,1995-11-03,13.43,13.7,13.35,13.4,13.39,2056400.0,27832440.0,536000000.0,6030000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sh600876,醫栠產薛,1995-11-06,13.5,13.58,13.08,13.13,13.4,2052900.0,27052118.0,525200000.0,5908500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sh600876,醫栠產薛,1995-11-07,13.08,13.15,12.55,12.65,13.13,2683200.0,34097196.0,506000000.0,5692500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sh600876,醫栠產薛,1995-11-08,12.45,12.45,11.77,11.85,12.65,3189400.0,38274151.0,474000000.0,5332500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sh600876,醫栠產薛,1995-11-09,11.56,12.19,11.38,11.65,11.85,1807500.0,21024632.0,466000000.0,5242500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sh600876,醫栠產薛,1995-11-10,11.62,11.99,11.58,11.8,11.65,1578700.0,18710624.0,472000000.0,5310000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sh600876,醫栠產薛,1995-11-13,11.7,11.75,11.03,11.03,11.8,1647800.0,18636968.0,441200000.0,4963500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
