±æ ˝æ›≤ﬂ¬‘∑÷œÌª·◊®”√£¨”…–œ≤ª––’˚¿Ì£¨Œ¢–≈£∫xbx6660
π…∆±¥˙¬Î,π…∆±√˚≥∆,Ωª“◊»’∆⁄,ø™≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€, ’≈Ãº€,«∞ ’≈Ãº€,≥…Ωª¡ø,≥…Ωª∂Ó,¡˜Õ® –÷µ,◊‹ –÷µ,æª¿˚»ÛTTM,œ÷Ω¡˜TTM,æª◊ ≤˙,◊‹◊ ≤˙,◊‹∏∫’Æ,æª¿˚»Û(µ±ºæ),÷–ªß◊ Ω¬Ú»Î∂Ó,÷–ªß◊ Ω¬Ù≥ˆ∂Ó,¥Ûªß◊ Ω¬Ú»Î∂Ó,¥Ûªß◊ Ω¬Ù≥ˆ∂Ó,…¢ªß◊ Ω¬Ú»Î∂Ó,…¢ªß◊ Ω¬Ù≥ˆ∂Ó,ª˙ππ◊ Ω¬Ú»Î∂Ó,ª˙ππ◊ Ω¬Ù≥ˆ∂Ó,ª¶…Ó300≥…∑÷π…,…œ÷§50≥…∑÷π…,÷–÷§500≥…∑÷π…,÷–÷§1000≥…∑÷π…,÷–÷§2000≥…∑÷π…,¥¥“µ∞Â÷∏≥…∑÷π…,–¬∞Ê…ÍÕÚ“ªº∂––“µ√˚≥∆,–¬∞Ê…ÍÕÚ∂˛º∂––“µ√˚≥∆,–¬∞Ê…ÍÕÚ»˝º∂––“µ√˚≥∆,09:35 ’≈Ãº€,09:45 ’≈Ãº€,09:55 ’≈Ãº€
sh601021,N¥∫«Ô,2015-01-21,21.79,26.15,21.79,26.15,18.16,170100.0,4432855.0,2615000000.0,10460000000.0,,,3326581263.0,10708301172.0,7381719909.0,386715756.0,0.0,0.0,0.0,0.0,26.45,443.29,416.83,0.0,,,,,,,ΩªÕ®‘À ‰,∫Ωø’‘À ‰¢Ú,∫Ωø’‘À ‰¢Û,26.15,26.15,26.15
sh601021,¥∫«Ô∫Ωø’,2015-01-22,28.77,28.77,28.77,28.77,26.15,60400.0,1737708.0,2877000000.0,11508000000.0,,,3326581263.0,10708301172.0,7381719909.0,386715756.0,0.0,0.0,0.0,0.0,46.9,173.77,126.88,0.0,,,,,,,ΩªÕ®‘À ‰,∫Ωø’‘À ‰¢Ú,∫Ωø’‘À ‰¢Û,28.77,28.77,28.77
sh601021,¥∫«Ô∫Ωø’,2015-01-23,31.65,31.65,31.65,31.65,28.77,158500.0,5016525.0,3165000000.0,12660000000.0,,,3326581263.0,10708301172.0,7381719909.0,386715756.0,0.0,0.0,81.97,0.0,105.08,501.65,314.6,0.0,,,,,,,ΩªÕ®‘À ‰,∫Ωø’‘À ‰¢Ú,∫Ωø’‘À ‰¢Û,31.65,31.65,31.65
sh601021,¥∫«Ô∫Ωø’,2015-01-26,34.82,34.82,34.82,34.82,31.65,454100.0,15811762.0,3482000000.0,13928000000.0,,,3326581263.0,10708301172.0,7381719909.0,386715756.0,0.0,0.0,0.0,0.0,560.95,1581.18,1020.23,0.0,,,,,,,ΩªÕ®‘À ‰,∫Ωø’‘À ‰¢Ú,∫Ωø’‘À ‰¢Û,34.82,34.82,34.82
sh601021,¥∫«Ô∫Ωø’,2015-01-27,38.3,38.3,38.3,38.3,34.82,1351695.0,51769919.0,3830000000.0,15320000000.0,,,3326581263.0,10708301172.0,7381719909.0,386715756.0,0.0,7.66,55.54,0.0,2348.02,5169.33,2773.44,0.0,,,,,,,ΩªÕ®‘À ‰,∫Ωø’‘À ‰¢Ú,∫Ωø’‘À ‰¢Û,38.3,38.3,38.3
sh601021,¥∫«Ô∫Ωø’,2015-01-28,42.13,42.13,42.13,42.13,38.3,2574097.0,108446707.0,4213000000.0,16852000000.0,,,3326581263.0,10708301172.0,7381719909.0,386715756.0,3597.9,6694.41,0.0,0.0,1656.13,3448.38,5590.64,701.89,,,,,,,ΩªÕ®‘À ‰,∫Ωø’‘À ‰¢Ú,∫Ωø’‘À ‰¢Û,42.13,42.13,42.13
sh601021,¥∫«Ô∫Ωø’,2015-01-29,46.34,46.34,46.34,46.34,42.13,3191209.0,147880625.0,4634000000.0,18536000000.0,,,3326581263.0,10708301172.0,7381719909.0,386715756.0,5992.64,10284.18,214.46,70.81,2450.6,4433.07,6130.36,0.0,,,,,,,ΩªÕ®‘À ‰,∫Ωø’‘À ‰¢Ú,∫Ωø’‘À ‰¢Û,46.34,46.34,46.34
sh601021,¥∫«Ô∫Ωø’,2015-01-30,50.97,50.97,50.97,50.97,46.34,15543010.0,792227220.0,5097000000.0,20388000000.0,,,3326581263.0,10708301172.0,7381719909.0,386715756.0,29360.01,45865.33,6635.04,1813.64,12537.29,19150.21,30690.3,12393.45,,,,,,,ΩªÕ®‘À ‰,∫Ωø’‘À ‰¢Ú,∫Ωø’‘À ‰¢Û,50.97,50.97,50.97
sh601021,¥∫«Ô∫Ωø’,2015-02-02,51.98,56.07,50.97,56.07,50.97,61903188.0,3323897863.0,5607000000.0,22428000000.0,,,3326581263.0,10708301172.0,7381719909.0,386715756.0,115691.67,192580.7,49531.34,18431.73,66102.42,86439.6,101054.7,34928.11,,,,,,,ΩªÕ®‘À ‰,∫Ωø’‘À ‰¢Ú,∫Ωø’‘À ‰¢Û,53.07,52.99,54.0
sh601021,¥∫«Ô∫Ωø’,2015-02-03,58.0,61.68,57.52,61.68,56.07,23072212.0,1374358914.0,6168000000.0,24672000000.0,,,3326581263.0,10708301172.0,7381719909.0,386715756.0,39230.52,48044.49,36315.44,35671.48,22679.56,25114.7,39210.35,28605.19,,,,,,,ΩªÕ®‘À ‰,∫Ωø’‘À ‰¢Ú,∫Ωø’‘À ‰¢Û,58.75,59.52,60.96
sh601021,¥∫«Ô∫Ωø’,2015-02-04,64.8,66.94,59.1,59.73,61.68,39018159.0,2447929008.0,5973000000.0,23892000000.0,,,3326581263.0,10708301172.0,7381719909.0,386715756.0,71193.42,75885.99,69162.83,65351.86,41821.47,40109.02,62594.23,63425.07,,,,,,,ΩªÕ®‘À ‰,∫Ωø’‘À ‰¢Ú,∫Ωø’‘À ‰¢Û,65.3,64.85,64.72
sh601021,¥∫«Ô∫Ωø’,2015-02-05,62.3,65.7,61.33,65.7,59.73,30368741.0,1943429587.0,6570000000.0,26280000000.0,,,3326581263.0,10708301172.0,7381719909.0,386715756.0,49773.64,63249.72,53060.43,52913.23,30961.9,35593.42,60546.94,42586.55,,,,,,,ΩªÕ®‘À ‰,∫Ωø’‘À ‰¢Ú,∫Ωø’‘À ‰¢Û,62.99,63.8,64.41
sh601021,¥∫«Ô∫Ωø’,2015-02-06,64.0,66.5,61.28,62.96,65.7,22612197.0,1449941977.0,6296000000.0,25184000000.0,,,3326581263.0,10708301172.0,7381719909.0,386715756.0,35155.51,38521.98,46624.71,46764.95,18869.23,19856.99,44339.7,39845.24,,,,,,,ΩªÕ®‘À ‰,∫Ωø’‘À ‰¢Ú,∫Ωø’‘À ‰¢Û,62.5,63.28,64.3
sh601021,¥∫«Ô∫Ωø’,2015-02-09,61.6,64.63,60.45,61.77,62.96,10748369.0,673599165.0,6177000000.0,24708000000.0,,,3326581263.0,10708301172.0,7381719909.0,386715756.0,17828.19,22663.04,25968.19,23184.73,9557.16,11353.1,14006.35,10159.04,,,,,,,ΩªÕ®‘À ‰,∫Ωø’‘À ‰¢Ú,∫Ωø’‘À ‰¢Û,62.74,62.46,62.5
sh601021,¥∫«Ô∫Ωø’,2015-02-10,61.5,63.6,58.8,63.16,61.77,10852451.0,666626160.0,6316000000.0,25264000000.0,,,3326581263.0,10708301172.0,7381719909.0,386715756.0,21657.01,21995.77,23571.24,21998.95,9234.44,10855.35,12199.92,11812.53,,,,,,,ΩªÕ®‘À ‰,∫Ωø’‘À ‰¢Ú,∫Ωø’‘À ‰¢Û,62.4,62.7,62.9
