本数据策略分享会专用，由邢不行整理，微信：xbx6660
股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额,流通市值,总市值,净利润TTM,现金流TTM,净资产,总资产,总负债,净利润(当季),中户资金买入额,中户资金卖出额,大户资金买入额,大户资金卖出额,散户资金买入额,散户资金卖出额,机构资金买入额,机构资金卖出额,沪深300成分股,上证50成分股,中证500成分股,中证1000成分股,中证2000成分股,创业板指成分股,新版申万一级行业名称,新版申万二级行业名称,新版申万三级行业名称,09:35收盘价,09:45收盘价,09:55收盘价
sh688368,N晶丰,2019-10-14,109.0,111.43,98.34,104.36,56.68,9847120.0,1014787255.0,1468898308.0,6428576000.0,,,294089683.82,509610083.39,215520399.57,30334000.29,32352.79,39563.89,41207.42,39463.24,10406.02,22451.2,17512.11,0.0,,,,,,,电子,半导体,集成电路,100.08,99.99,101.5
sh688368,晶丰明源,2019-10-15,100.0,100.55,89.83,90.05,104.36,6498440.0,613002913.0,1267480765.0,5547080000.0,,,294089683.82,509610083.39,215520399.57,30334000.29,25883.75,18231.33,19285.32,29253.12,12568.97,4617.21,3562.0,9198.38,,,,,,,电子,半导体,集成电路,98.14,98.49,95.5
sh688368,晶丰明源,2019-10-16,90.18,90.6,84.9,86.23,90.05,4558469.0,397871748.0,1213713119.0,5311768000.0,,,294089683.82,509610083.39,215520399.57,30334000.29,15705.85,14449.9,14364.43,18236.73,7511.17,3998.73,1229.28,2125.38,,,,,,,电子,半导体,集成电路,89.46,87.94,88.45
sh688368,晶丰明源,2019-10-17,85.0,85.35,82.15,82.2,86.23,3307177.0,276089356.0,1156989660.0,5063520000.0,,,294089683.82,509610083.39,215520399.57,30334000.29,11147.35,9891.33,8961.52,13386.52,5014.92,2569.34,2485.03,1761.61,,,,,,,电子,半导体,集成电路,85.0,84.53,83.89
sh688368,晶丰明源,2019-10-18,82.08,84.99,80.9,80.93,82.2,3197071.0,265011036.0,1139114029.0,4985288000.0,,,294089683.82,509610083.39,215520399.57,30334000.29,11316.39,10300.57,8902.49,11544.9,4578.96,3299.89,1703.14,1355.62,,,,,,,电子,半导体,集成电路,82.18,82.5,82.7
sh688368,晶丰明源,2019-10-21,81.0,81.0,75.45,76.15,80.93,3150957.0,243128146.0,1071834095.0,4690840000.0,,,294089683.82,509610083.39,215520399.57,30334000.29,9184.98,7886.0,7787.48,10720.44,6468.41,3476.65,871.83,2229.6,,,,,,,电子,半导体,集成电路,79.45,78.8,77.22
sh688368,晶丰明源,2019-10-22,76.0,77.28,75.0,77.0,76.15,2154671.0,164298042.0,1083798100.0,4743200000.0,,,294089683.82,509610083.39,215520399.57,30334000.29,6975.38,6324.96,5339.85,6326.34,3777.61,3294.06,336.86,484.35,,,,,,,电子,半导体,集成电路,76.38,76.28,76.86
sh688368,晶丰明源,2019-10-23,77.0,82.88,75.58,80.49,77.0,3494427.0,275788694.0,1132920897.0,4958184000.0,,,294089683.82,509610083.39,215520399.57,30334000.29,10793.73,11349.6,10711.37,8950.99,4224.33,5497.61,1849.31,1780.53,,,,,,,电子,半导体,集成电路,76.33,76.4,75.69
sh688368,晶丰明源,2019-10-24,79.0,79.96,77.01,77.02,80.49,2495793.0,195793532.0,1084079606.0,4744432000.0,,,294089683.82,509610083.39,215520399.57,30334000.29,7847.11,7429.97,5598.65,8028.39,5388.82,2854.94,744.67,1265.95,,,,,,,电子,半导体,集成电路,79.08,78.88,78.03
sh688368,晶丰明源,2019-10-25,77.78,77.78,75.01,75.43,77.02,1683772.0,127900910.0,1061699879.0,4646488000.0,,,294089683.82,509610083.39,215520399.57,30334000.29,5146.08,5066.83,3631.88,4341.29,3757.2,1613.47,254.85,1768.43,,,,,,,电子,半导体,集成电路,77.04,77.23,77.11
sh688368,晶丰明源,2019-10-28,75.0,77.58,74.0,76.9,75.43,1985340.0,151434300.0,1082390570.0,4737040000.0,,,294089683.82,509610083.39,215520399.57,30334000.29,6057.38,6247.45,5648.88,3998.01,3012.41,3496.71,424.69,1401.19,,,,,,,电子,半导体,集成电路,74.11,74.99,74.81
sh688368,晶丰明源,2019-10-29,76.79,76.79,72.8,72.8,76.9,2273283.0,170327809.0,1024681840.0,4484480000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,6253.46,6219.09,4704.42,8344.3,5430.27,1997.38,644.53,471.92,,,,,,,电子,半导体,集成电路,76.0,76.6,76.66
