本数据策略分享会专用，由邢不行整理，微信：xbx6660
股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额,流通市值,总市值,净利润TTM,现金流TTM,净资产,总资产,总负债,净利润(当季),中户资金买入额,中户资金卖出额,大户资金买入额,大户资金卖出额,散户资金买入额,散户资金卖出额,机构资金买入额,机构资金卖出额,沪深300成分股,上证50成分股,中证500成分股,中证1000成分股,中证2000成分股,创业板指成分股,新版申万一级行业名称,新版申万二级行业名称,新版申万三级行业名称,09:35收盘价,09:45收盘价,09:55收盘价
sz000957,中通客车,2000-01-13,9.66,9.78,8.7,8.75,5.94,22331100.0,202088576.4,393750000.0,1159399062.5,,,157706654.61,402695124.11,244988469.5,,,,,,,,,,,,,,,,,,,,,
sz000957,中通客车,2000-01-14,8.68,8.68,8.2,8.33,8.75,5547800.0,46713219.8,374850000.0,1103747907.5,,,157706654.61,402695124.11,244988469.5,,,,,,,,,,,,,,,,,,,,,
sz000957,中通客车,2000-01-17,8.25,8.88,8.2,8.72,8.33,3464900.0,29955764.4,392400000.0,1155423980.0,,,157706654.61,402695124.11,244988469.5,,,,,,,,,,,,,,,,,,,,,
sz000957,中通客车,2000-01-18,8.7,8.7,8.42,8.47,8.72,1961600.0,16764442.6,381150000.0,1122298292.5,,,157706654.61,402695124.11,244988469.5,,,,,,,,,,,,,,,,,,,,,
sz000957,中通客车,2000-01-19,8.46,8.58,8.4,8.43,8.47,1336100.0,11304704.5,379350000.0,1116998182.5,,,157706654.61,402695124.11,244988469.5,,,,,,,,,,,,,,,,,,,,,
sz000957,中通客车,2000-01-20,8.43,8.6,8.36,8.53,8.43,1587700.0,13457893.6,383850000.0,1130248457.5,,,157706654.61,402695124.11,244988469.5,,,,,,,,,,,,,,,,,,,,,
sz000957,中通客车,2000-01-21,8.55,8.68,8.41,8.59,8.53,2170000.0,18506580.1,386550000.0,1138198622.5,,,157706654.61,402695124.11,244988469.5,,,,,,,,,,,,,,,,,,,,,
sz000957,中通客车,2000-01-24,8.6,9.06,8.52,9.02,8.59,3580800.0,31603831.3,405900000.0,1195174805.0,,,157706654.61,402695124.11,244988469.5,,,,,,,,,,,,,,,,,,,,,
sz000957,中通客车,2000-01-25,8.9,8.95,8.72,8.81,9.02,1693100.0,14916801.6,396450000.0,1167349227.5,,,157706654.61,402695124.11,244988469.5,,,,,,,,,,,,,,,,,,,,,
sz000957,中通客车,2000-01-26,8.81,9.1,8.74,9.08,8.81,2227800.0,19985468.3,408600000.0,1203124970.0,,,157706654.61,402695124.11,244988469.5,,,,,,,,,,,,,,,,,,,,,
sz000957,中通客车,2000-01-27,9.08,9.1,8.9,8.9,9.08,1915700.0,17244479.7,400500000.0,1179274475.0,,,157706654.61,402695124.11,244988469.5,,,,,,,,,,,,,,,,,,,,,
sz000957,中通客车,2000-01-28,8.81,8.99,8.62,8.72,8.9,1721400.0,14979769.8,392400000.0,1155423980.0,,,157706654.61,402695124.11,244988469.5,,,,,,,,,,,,,,,,,,,,,
sz000957,中通客车,2000-02-14,8.89,9.59,8.73,9.41,8.72,3438900.0,31823717.3,423450000.0,1246850877.5,,,157706654.61,402695124.11,244988469.5,,,,,,,,,,,,,,,,,,,,,
sz000957,中通客车,2000-02-15,9.4,9.53,9.1,9.2,9.41,3631200.0,33929217.0,414000000.0,1219025300.0,,,157706654.61,402695124.11,244988469.5,,,,,,,,,,,,,,,,,,,,,
sz000957,中通客车,2000-02-16,9.2,10.12,9.2,10.12,9.2,4829900.0,46807081.4,455400000.0,1340927830.0,,,157706654.61,402695124.11,244988469.5,,,,,,,,,,,,,,,,,,,,,
sz000957,中通客车,2000-02-17,10.3,11.0,9.95,10.28,10.12,5592900.0,58852204.3,462600000.0,1362128270.0,,,157706654.61,402695124.11,244988469.5,,,,,,,,,,,,,,,,,,,,,
