股票代码,板块名称,当前强度_0930,当前涨幅_0930,净额_0930,成交额_0930,主力买_0930,主力卖_0930,量比_0930,流通市值_0930,300w大单净额_0930,当前强度_1500,当前涨幅_1500,净额_1500,成交额_1500,主力买_1500,主力卖_1500,量比_1500,流通市值_1500,300w大单净额_1500
801001,芯片,-5784,0.174,44594874,1223934107,252141043,-207546169,1.677,7386990933120,44970300,-374,0.346,-2093135511,158249062441,19500466024,-21593601535,0.914,7373314606976,-178652000
801004,锂电池,-14989,0.129,10582213,436529490,49607094,-39024881,1.598,5954303110976,18410000,5322,2.264,2061490247,91515958479,9167277569,-7105787322,1.267,6088689804928,909198000
801008,高送转,-2,-0.028,0,60475230,0,0,1.245,965526166724,0,43,0.439,-8761995,10153824374,15923583,-24685578,0.827,971160282904,0
801009,充电桩,6,0.066,7231532,132039526,14888471,-7656939,1.227,1080932396061,0,431,1.317,237778189,24301193358,2526868587,-2289090398,0.98,1093126151068,53577200
801012,钢铁,11,0.111,0,14322903,0,0,0.673,733379609523,0,123,1.236,178424947,5464811968,1036057487,-857632540,1.12,742371221677,12284600
801014,行业龙头,20,0.201,-5102192,1136148561,25879083,-30981275,1.312,22670400720040,0,123,1.236,451974738,169776638541,2871796451,-2419821713,0.996,22875941401394,362543000
801016,稀土永磁,11,0.117,-910331,69125124,3279844,-4190175,1.31,826167353744,0,113,1.275,58135072,11476389006,1084477488,-1026342416,1.018,838626118367,-3380070
801019,物流,11,0.119,-7014932,136000905,13628786,-20643718,2.324,1322062356412,0,70,0.705,7155624,16615884931,977057184,-969901560,1.081,1332077241246,15120900
801022,换电站,33,0.335,4908450,60241717,17612370,-12703920,2.136,471917328179,-1732470,127,1.877,160798278,7628282613,419799248,-259000970,1.17,481365636250,52765400
801027,银行,6,0.061,-848499,71784338,30012032,-30860531,1.198,6507198158047,3200220,93,0.934,525827102,14047764709,6043486403,-5517659301,0.931,6551908173815,281660000
801031,文化传媒,-562,0.37,-24334386,981379616,157342563,-181676949,4.307,1293934600704,-9028330,287,0.26,-1788351316,65358059220,7533324681,-9321675997,1.192,1284451792757,-436006000
801032,深圳国资改革,48,0.484,897929,23398385,897929,0,2.469,105876747513,0,120,1.93,-16922358,2360379673,16985128,-33907486,1.179,105892986187,6202440
801033,国企改革,3,0.039,-16230750,913133379,45089134,-61319884,1.956,6976800707072,-1335550,67,0.771,-416887943,101645861592,2359994512,-2776882455,1.072,7001916179601,-152249000
