股票代码,股票名称,竞价量比,竞价金额,竞价涨幅%,价格,净额,涨幅%,板上信息,主力净额,主力买,主力卖,所属板块,区间涨幅%,成交额,实际流通,量比,300w大单净额
002812,恩捷股份,0.9,1078077,-0.33,30.52,18498655,1.29,,18498655,87098579,-68599924,固态电池、隔膜,1.63,385181836,15556229510,1.04949,0
002565,顺灏股份,0.2,59392,0.0,2.38,9146677,2.59,,9146677,14730515,-5583838,电子烟、三季报增长,2.59,54275747,1791561350,1.51444,0
300678,中科信息,5.4,532555,-0.08,24.75,7739239,-0.16,,7739239,24856028,-17116789,西部大开发、脑机接口,-0.08,155586173,4815993758,1.17725,0
600830,香溢融通,0.7,380598,-0.15,6.84,4333788,-0.58,,4333788,16949582,-12615794,金融概念、三季报增长,-0.44,105168942,2258462036,0.679476,0
002191,劲嘉股份,17.6,102930,-0.27,3.66,3063027,0.0,,3063027,4782323,-1719296,电子烟、并购重组,0.27,36343357,3523792300,1.07415,0
603058,永吉股份,3.3,588260,0.11,8.86,2854145,1.03,,2854145,17444201,-14590056,大麻、白酒,0.91,119520854,1686768631,0.903163,0
300233,金城医药,0.7,82360,0.0,14.25,2821114,0.35,,2821114,3347044,-525930,电子烟、医药,0.35,39446126,4155321804,0.650687,0
603607,京华激光,0.1,42984,-0.25,11.83,2709706,-1.17,,2709706,3705317,-995611,卡牌概念、光刻机,-0.92,29851862,1182167153,1.11336,0
301223,中荣股份,23.7,355263,0.54,14.69,1472806,-1.48,,1472806,2240925,-768119,网络直播、电子商务,-2.0,8421178,773239128,1.37822,0
603733,仙鹤股份,0.7,178360,-0.27,17.98,1288448,-1.48,,1288448,9866721,-8578273,造纸、化工,-1.21,59569816,2984570562,0.641053,0
603867,新化股份,0.0,0,0.0,21.98,746510,-1.12,,746510,746510,0,磷化工、化工,-1.12,12236835,2970873040,0.586167,0
300741,华宝股份,0.0,0,0.0,14.81,300172,0.0,,300172,300172,0,电子烟、西部大开发,0.0,13603037,1717620227,0.891625,0
688500,慧辰股份,0.0,0,0.0,32.88,113114,-1.35,,113114,2858044,-2744930,数字经济、AI智能体,-1.35,17813747,1552413530,0.607274,0
600356,恒丰纸业,6.3,73962,-0.17,5.85,0,-0.51,,0,0,0,并购重组、化工,-0.34,5374886,1224940726,0.538023,0
002836,新宏泽,1.1,453750,0.67,6.0,-78117,-0.17,,-78117,1994241,-2072358,包装印刷、三季报增长,-0.83,31756280,498866688,0.743757,0
603020,爱普股份,1.0,96668,0.0,6.69,-324411,-1.04,,-324411,339968,-664379,年报增长、业绩增长,-1.04,9934149,1780644847,0.832782,0
000812,陕西金叶,4.8,267531,0.55,3.57,-619856,-1.11,,-619856,1546651,-2166507,职业教育、电子烟,-1.65,21184530,2168931531,0.597809,0
300331,苏大维格,0.3,33858,-0.58,14.91,-637900,-3.68,,-637900,1358778,-1996678,芯片、OLED,-3.12,45543830,2604571137,0.840509,0
603429,集友股份,0.8,29760,0.0,3.76,-689933,1.08,,-689933,0,-689933,电子烟、包装印刷,1.08,18018384,1162917075,0.940454,0
301315,威士顿,0.3,113582,0.07,29.33,-1014154,-1.81,,-1014154,2904535,-3918689,互联网金融、国产软件,-1.87,46250418,1085210000,0.678302,0
002951,*ST金时,0.3,145483,-1.47,4.2,-1073981,2.69,,-1073981,568575,-1642556,ST板块、四川省,4.22,15851389,299626638,2.13816,0
603687,大胜达  ,0.2,20910,0.14,6.85,-1446611,-1.58,,-1446611,491878,-1938489,机器人概念、包装印刷,-1.72,19797070,1902569019,0.678595,0
600235,民丰特纸,0.2,14198,-0.22,4.52,-2367295,-1.53,,-2367295,743955,-3111250,化工、三季报增长,-1.31,22422856,1031441376,0.849877,0
300125,ST聆达,0.9,143820,1.08,1.88,-2871330,1.08,,-2871330,1187346,-4058676,ST板块、TOPCon,0.0,44080721,388124907,1.54903,0
300541,先进数通,1.8,68628,0.37,7.96,-3655571,-2.21,,-3655571,1770563,-5426134,互联网金融、网红经济,-2.57,41647637,2907064141,0.981079,0
600433,冠豪高新,10.1,35370,0.0,2.67,-5436184,-1.11,,-5436184,664637,-6100821,化工、并购重组,-1.11,17861980,2984365006,0.997513,0
601515,东峰集团,0.2,40664,-0.33,2.96,-5609700,-1.33,,-5609700,1095738,-6705438,固态电池、电子烟,-1.0,33005603,2575146906,0.726922,0
