股票代码,板块名称,当前涨幅_0930,净额_0930,成交额_0930,主力买_0930,主力卖_0930,量比_0930,流通市值_0930,当前涨幅_1500,净额_1500,成交额_1500,主力买_1500,主力卖_1500,量比_1500,流通市值_1500
881101,种植业与林业,-0.277,101559,9820389,1091200,-989641,0.999,135182373007,0.598,49274764,1907720151,363747454,-314472690,1.123,135494241578
881102,养殖业,-0.382,3831563,29586142,11799021,-7967458,5.88,410042696753,1.907,230074757,7566842807,2451374129,-2221299372,1.67,425490164396
881103,农产品加工,-0.014,62381430,227149688,138222297,-75840867,20.138,307460919683,0.586,247280485,5764101094,1659019034,-1411738549,1.282,309168604724
881104,农业服务,-0.367,557503,6445222,1625280,-1067777,2.001,64805431503,1.684,13853301,1487823241,271146318,-257293017,1.391,66191250233
881105,煤炭开采加工,0.005,15771172,47033346,26603676,-10832504,0.854,1682669717148,1.357,350036608,12817462559,3661335690,-3311299082,1.046,1728493490238
881106,石油矿业开采,-0.636,-1177144,24422500,8271117,-9448261,2.1,1777351082998,-1.354,-19197258,3598371054,1279663946,-1298861204,0.68,1785798364991
881107,油气开采及服务,-0.755,-4628001,24940407,5686181,-10314182,2.137,374459323179,-1.828,-198278398,4024818444,1057817234,-1256095632,0.755,373355239402
881108,化学原料,-0.56,-7089052,88133266,16940860,-24029912,2.436,569880144656,-1.552,-154654437,8905206916,1639708618,-1794363055,0.933,565872103942
881109,化学制品,-0.157,102281781,831068721,463177486,-360895705,5.139,1869164884538,-0.562,-770849374,42203571815,9455690882,-10226540256,1.045,1852197891650
881110,化工合成材料,-0.277,-10248600,151051299,36866313,-47114913,2.499,535527798518,-1.315,-301450670,12790983414,2161957472,-2463408142,0.927,528992947305
881111,化工新材料,-0.605,-1028556,21336887,4035956,-5064512,1.751,477601528188,-2.264,-115363489,3166919194,567838526,-683202015,0.799,470612583610
881112,钢铁,-0.207,1719404,23935403,4164866,-2445462,0.818,776868724964,-1.204,-138214608,5933280790,1434539367,-1572753975,0.773,770633330048
881113,有色冶炼加工,-0.697,-26364826,236149807,60306392,-86671218,1.314,2182778986030,-0.984,-324899428,34204214639,9451786314,-9776685742,0.744,2186577267603
881114,金属新材料,-0.271,1935615,18003602,5728438,-3792823,1.347,129734278803,-1.405,-77973350,2420837979,365815647,-443788997,0.765,127946471262
881115,建筑材料,-0.243,-2256617,47237343,6649170,-8905787,1.585,581452878903,-1.728,-188611918,7829548836,1434614955,-1623226873,0.853,573188050050
881116,建筑装饰,-0.408,1559424,126056932,31099348,-29539924,1.097,1392103744967,-2.013,-544656989,17703843584,3907178630,-4451835619,0.685,1377972468124
881117,通用设备,-0.224,-8611870,229289969,79533081,-88144951,4.499,642640601937,-1.624,-580791781,17927357283,3268834943,-3849626724,0.984,634594716944
881118,专用设备,-0.177,-7750784,163117745,30006889,-37757673,2.344,1260888417633,-1.524,-732861591,22365110268,3710831878,-4443693469,0.885,1245542629867
881119,仪器仪表,-0.047,645231,15718191,2017731,-1372500,1.241,128222438750,-2.132,-93994706,2288565493,237107452,-331102158,0.755,125372675392
881120,电力设备,-0.321,-10247221,325663558,75821713,-86068934,1.423,4276266285697,-1.678,-2429749429,57745915592,10906773223,-13336522652,0.732,4212980726439
881121,半导体及元件,-0.148,-6823562,189233808,47573721,-54397283,0.963,2567576493650,-1.847,-1133815540,36644912783,7475411440,-8609226980,0.735,2532003487658
881122,光学光电子,-0.145,-2984039,91350291,27659370,-30643409,2.011,804281231741,-1.988,-700511969,13342510718,3135865093,-3836377062,0.831,794007172584
881123,其他电子,-0.404,-909884,67443682,28559467,-29469351,1.874,157961219723,-1.722,-140519393,6035197672,1385074169,-1525593562,0.76,156400407625
881124,消费电子,-0.291,-8867013,115167717,30794387,-39661400,1.143,1426052220396,-1.825,-696099944,19826663209,4729750347,-5425850291,0.828,1406888628482
881125,汽车整车,-0.652,17468179,197245614,127111335,-109643156,2.218,1200160152014,-1.598,-15101382,17618163229,6167912071,-6183013453,0.769,1193557314323
881126,汽车零部件,-0.23,-45498789,301211372,82717944,-128216733,1.699,1527285643431,-1.693,-927700971,32714038779,6513208651,-7440909622,0.825,1505512337365
881127,非汽车交运,-0.502,-1672974,21567770,1143917,-2816891,0.766,410895994578,-1.244,-143797545,4717026580,865642347,-1009439892,0.633,409607974443
881128,汽车服务,-0.065,-408170,2299730,0,-408170,0.459,64700909243,-2.221,-65784334,695650294,88112751,-153897085,0.612,63130476646
