股票代码,股票名称,竞价量比,竞价金额,竞价涨幅%,价格,净额,涨幅%,板上信息,主力净额,主力买,主力卖,所属板块,区间涨幅%,成交额,实际流通,量比,300w大单净额
000524,岭南控股,0.4,108324,-0.65,10.87,11364342,1.68,,11364342,13471718,-2107376,飞行汽车、免税,2.35,56201483,2063052608,1.12176,3998514
000888,峨眉山Ａ,0.6,3124422,0.9,12.42,9494704,1.64,,9494704,79249027,-69754323,旅游、股权转让,0.73,429922748,3949899814,0.689359,0
002159,三特索道,0.1,662075,0.11,18.84,4351412,1.13,,4351412,19529264,-15177852,旅游、年报增长,1.02,183801114,1872712643,1.11696,0
603099,长白山  ,0.2,296184,-0.08,12.38,3174403,2.74,,3174403,13013890,-9839487,旅游、汽车类,2.82,130735808,1335386217,1.03106,0
600054,黄山旅游,1.8,329644,-0.37,13.58,2841485,0.15,,2841485,8403806,-5562321,地方国企、国有企业,0.52,79402078,2934997936,0.562223,0
600749,西藏旅游,3.0,450240,1.44,13.3,2043623,0.68,,2043623,9510724,-7467101,旅游、低空经济,-0.75,75856990,1827941303,0.709334,0
600576,祥源文旅,0.3,133355,-0.33,9.08,1715709,1.11,,1715709,9744259,-8028550,谷子经济、文创产品,1.45,90534499,3743393888,0.649944,0
000430,张家界,0.3,67940,-0.75,7.97,1183745,0.13,,1183745,5635784,-4452039,旅游、并购重组,0.89,46612904,2088089812,0.682602,0
002485,ST雪发,0.0,552227,-1.0,3.98,173630,-0.75,,173630,735029,-561399,ST板块、并购重组,0.25,9197373,662829836,1.24644,0
600593,大连圣亚,0.0,4545,-0.07,15.23,-540118,0.46,,-540118,308400,-848518,体育产业、地方国企,0.53,21630230,949790878,0.699607,0
002707,众信旅游,2.6,349554,0.39,7.87,-739444,1.03,,-739444,23072570,-23812014,旅游、年报增长,0.64,111652081,5160619092,0.850593,0
603136,天目湖  ,1.0,59220,-0.77,28.5,-1025297,0.28,,-1025297,1913315,-2938612,旅游、地方国企,1.06,39691955,2839380562,0.720525,0
603199,九华旅游,0.3,1083684,0.03,36.8,-1715449,-1.15,,-1715449,33910661,-35626110,旅游、地方国企,-1.18,207355710,2151729702,0.691751,0
000978,桂林旅游,2.6,363312,0.13,7.8,-2293248,-0.26,,-2293248,3264622,-5557870,地方国企、国有企业,-0.38,44701010,1843173061,0.655613,0
000796,凯撒旅业,1.5,483632,-1.18,3.37,-2833445,-0.3,,-2833445,1825256,-4658701,海南、免税,0.9,20978556,1393847036,0.71589,0
600706,曲江文旅,0.5,927300,-0.71,17.05,-3508395,0.41,,-3508395,37756687,-41265082,旅游、地方国企,1.13,287386247,2370231232,0.492164,0
300144,宋城演艺,0.7,1098664,-0.85,13.02,-3603708,0.23,,-3603708,66334474,-69938182,文化传媒、旅游,1.09,276865326,16037580530,0.787529,-6676384
002059,云南旅游,0.3,92400,0.0,6.6,-3940364,0.0,,-3940364,6114803,-10055167,旅游、股权转让,0.0,48111709,2626412301,0.661132,0
300859,西域旅游,0.2,151200,-0.04,27.53,-4573063,1.93,,-4573063,10422191,-14995254,旅游、低空经济,1.96,92009573,1319305958,0.577856,0
002033,丽江股份,1.5,534240,0.0,11.2,-9442710,0.63,,-9442710,12004651,-21447361,旅游、西部大开发,0.63,150678490,3382440864,0.675198,0
600138,中青旅  ,1.8,438904,-0.45,13.24,-11990716,-0.3,,-11990716,22830455,-34821171,中字头、旅游,0.15,139834582,7942241719,0.749697,-3074070
