股票代码,股票名称,竞价量比,竞价金额,竞价涨幅%,价格,净额,涨幅%,板上信息,主力净额,主力买,主力卖,所属板块,区间涨幅%,成交额,实际流通,量比,300w大单净额
300498,温氏股份,1.4,966320,0.0,18.6,13459195,-1.06,,13459195,131515609,-118056414,农业、年报增长,-1.06,441396487,99503332886,1.4546,-3372468
000048,京基智农,0.6,762420,0.47,20.46,9207527,5.96,,9207527,55276255,-46068728,农业、猪肉,5.46,282120846,3438855519,3.01711,-3065997
002299,圣农发展,0.4,386966,0.0,20.65,8458745,1.92,,8458745,43304340,-34845595,鸡肉、养殖业,1.92,267277130,12920236959,1.00024,0
605296,神农集团,4.3,553200,-0.13,23.52,2530298,1.91,,2530298,5411344,-2881046,猪肉、年报增长,2.04,36126039,1554360572,1.75492,0
300967,晓鸣股份,14.0,21616,-0.26,15.8,1393478,2.07,,1393478,3993775,-2600297,鸡肉、年报增长,2.33,53971936,1296700694,1.657,0
600467,好当家  ,0.0,9234,0.0,2.45,1148930,0.82,,1148930,6346987,-5198057,水产品、核污染概念,0.82,28744846,2175591966,1.19747,0
600257,大湖股份,0.3,1167360,0.79,6.36,1070693,0.16,,1070693,27614067,-26543374,养老概念、预制菜,-0.62,150502870,2392539882,0.599331,0
000798,中水渔业,2.5,276003,0.0,10.17,975702,0.59,,975702,5401034,-4425332,水产品、预制菜,0.59,34217942,1554138819,0.698366,0
002321,华英农业,0.4,82680,0.0,2.63,922849,1.15,,922849,5381444,-4458595,农业、年报增长,1.15,27032081,3363560540,1.30457,0
600097,开创国际,0.4,174399,0.74,9.62,304797,1.69,,304797,304797,0,上海、预制菜,0.94,20091611,1174088204,1.13161,0
300313,ST天山,0.8,5030,1.41,4.91,0,-1.01,,0,0,0,ST板块、超跌,-2.39,6852617,466519983,0.867422,0
002234,民和股份,0.2,540421,0.43,19.3,-656604,2.93,,-656604,13910816,-14567420,农业、生物质能,2.5,154146664,4265297724,1.79359,0
001201,东瑞股份,0.4,81246,0.37,25.17,-708885,2.61,,-708885,6454520,-7163405,猪肉、农业,2.23,60186364,2311321382,3.16126,0
300094,国联水产,0.1,182766,0.2,4.98,-791967,0.2,,-791967,37765744,-38557711,水产品、预制菜,0.0,166642740,4020186485,0.760537,0
300761,立华股份,2.7,35720,-0.48,19.12,-993777,1.22,,-993777,4837314,-5831091,鸡肉、年报增长,1.7,34991597,5543705510,1.57749,0
002157,正邦科技,1.3,1632338,0.36,2.75,-1639809,0.0,,-1639809,26697177,-28336986,农业、猪肉,-0.36,99784072,4711313876,0.892094,0
603717,天域生物,0.3,162368,0.29,6.89,-1767621,0.44,,-1767621,3061876,-4829497,猪肉、环保,0.15,25940692,1367803409,0.869205,0
002982,湘佳股份,0.5,117742,0.84,35.2,-3394682,2.5,,-3394682,3127883,-6522565,鸡肉、年报增长,1.65,44801020,1876924327,1.94805,0
600965,福成股份,0.9,71151,0.47,6.43,-3755738,0.78,,-3755738,0,-3755738,农业、预制菜,0.31,20938813,2135331303,1.44064,0
000735,罗牛山,0.2,387260,0.9,6.68,-3883648,0.6,,-3883648,3693872,-7577520,海南、年报增长,-0.3,61231006,6372069823,1.01605,0
603477,巨星农牧,2.1,1074192,-0.84,32.27,-4013082,0.09,,-4013082,30089798,-34102880,猪肉、年报增长,0.94,244785593,8192124949,0.780119,0
002746,仙坛股份,0.8,325854,-0.12,8.53,-4721957,1.19,,-4721957,5083502,-9805459,预制菜、食品饮料,1.31,90117473,4056040103,0.451404,0
002069,獐子岛,1.2,580260,0.22,4.6,-5965870,1.1,,-5965870,4111130,-10077000,预制菜、核污染概念,0.88,57090152,1853485208,1.32045,0
600975,新五丰  ,1.6,2540661,-0.4,10.27,-6482899,1.58,,-6482899,72132468,-78615367,猪肉、华为概念,1.99,377334660,4597545968,1.11928,-3132680
002124,ST天邦,0.2,476224,0.0,4.53,-8216736,1.12,,-8216736,10288506,-18505242,ST板块、猪肉,1.12,91375011,6966466489,1.19716,0
002714,牧原股份,4.4,8473965,-0.49,42.54,-12968132,-0.84,,-12968132,210233923,-223202055,农业、年报增长,-0.35,747373356,103332288649,1.07309,-23117611
002458,益生股份,1.7,626184,0.0,13.97,-22671410,4.41,,-22671410,78186476,-100857886,鸡肉、农业,4.41,389608054,8024123207,1.66151,87968
